state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
412285,68,-370,-8288,-18,-39,38,328,0,2,1,0,184,-24,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412188,0
412295,116,-318,-8286,-19,-45,37,327,-12,1,0,0,183,-34,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412190,0
412305,72,-394,-8274,-14,-43,44,327,0,1,-2,0,181,-44,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,412194,0
412315,90,-400,-8264,-20,-42,39,328,-1,-1,-3,0,179,-29,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2934,0,412209,0
412325,98,-374,-8292,-13,-43,41,327,-2,-1,3,0,183,-27,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,412216,0
412335,104,-380,-8322,-13,-40,44,328,0,-7,0,0,183,-29,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2934,0,412223,0
412345,86,-376,-8276,-16,-41,39,329,3,0,-1,0,179,-56,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2934,0,412233,0
412355,74,-378,-8298,-18,-40,39,329,2,-4,3,0,179,-55,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2936,0,412262,0
412365,82,-372,-8326,-13,-40,40,328,-4,-3,0,0,179,-55,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412269,0
412375,86,-378,-8280,-15,-41,41,328,-1,-3,0,0,180,-50,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412286,0
412385,98,-380,-8306,-17,-32,38,328,3,-1,-1,0,182,-39,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,412290,0
412395,86,-370,-8292,-15,-35,39,327,-6,-3,2,0,180,-36,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,412294,0
412405,106,-358,-8310,-18,-42,42,328,0,-2,0,0,183,-46,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,412300,0
412415,76,-376,-8282,-18,-45,39,328,-2,0,4,0,181,-50,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,412308,0
