State time, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z, Encoder angle, Encoder velocity, Encoder acceleration, Motor voltage, Motor current, Battery voltage, Battery current, Ankle angle, Ankle vel, Percent Gait, Heelstrike Armed, Segmentation Trigger, Expected Duration, Current Command, Torque Command, Soft Sensor Time, Hip Soft Sensor, Knee Soft Sensor, MHE Percent Gait, 
 414213,-420,70,8164,-14,11,27,9821,-10,0,5176,2,176,18,4878,0,-1,0,0,-1,400,56.0,6143.0,81.61,81.06,-1,
 414233,-436,46,8170,-17,18,23,9822,0,1,5176,4,177,50,4878,0,-1,0,0,-1,400,56.0,6159.0,81.61,81.06,-1,
 414263,-426,60,8180,-15,15,32,9821,-6,-1,5176,3,179,23,4878,0,-1,0,0,-1,400,56.0,6176.0,81.61,81.06,-1,
 414283,-444,44,8160,-17,14,22,9821,-4,1,5160,4,174,22,4877,0,-1,0,0,-1,400,56.0,6192.0,81.61,81.06,-1,
 414313,-440,62,8144,-18,15,32,9821,3,2,5176,3,179,26,4879,0,-1,0,0,-1,400,56.0,6226.0,81.61,81.06,-1,
 414333,-450,68,8160,-16,12,26,9821,-1,1,5168,2,176,5,4878,0,-1,0,0,-1,400,56.0,6242.0,81.73,81.06,-1,
 414343,-408,56,8150,-11,12,26,9821,-2,-2,5168,3,176,3,4879,0,-1,0,0,-1,400,56.0,6259.0,81.61,81.06,-1,
 414353,-408,50,8162,-13,15,27,9822,0,-3,5176,4,182,17,4878,0,-1,0,0,-1,400,56.0,6275.0,81.61,81.17,-1,
 414363,-416,72,8170,-16,11,26,9822,3,0,5168,4,179,-8,4878,0,-1,0,0,-1,400,56.0,6309.0,81.61,81.17,-1,
 414403,-424,46,8162,-22,17,30,9821,-2,1,5176,4,178,15,4878,0,-1,0,0,-1,400,56.0,6325.0,81.61,81.17,-1,
 414433,-438,68,8184,-16,15,27,9822,5,4,5168,3,176,22,4878,0,-1,0,0,-1,400,56.0,6342.0,81.61,81.17,-1,
 414453,-404,48,8150,-16,17,24,9822,-1,-2,5168,3,181,42,4879,0,-1,0,0,-1,400,56.0,6358.0,81.5,81.17,-1,
 414473,-442,36,8172,-21,15,26,9822,-1,-2,5160,4,181,27,4878,0,-1,0,0,-1,400,56.0,6392.0,81.5,81.17,-1,
 414493,-410,66,8170,-13,16,23,9820,-6,-1,5160,3,179,36,4878,0,-1,0,0,-1,400,56.0,6408.0,81.5,81.17,-1,
 414513,-458,40,8166,-17,19,26,9822,0,-4,5176,7,181,43,4878,0,-1,0,0,-1,400,56.0,6425.0,81.61,81.17,-1,
 414533,-402,64,8162,-20,9,30,9822,1,3,5176,2,177,-17,4878,0,-1,0,0,-1,400,56.0,6441.0,81.61,81.17,-1,
 414543,-396,62,8160,-15,12,24,9821,-8,0,5160,6,175,-48,4879,0,-1,0,0,-1,400,56.0,6457.0,81.61,81.17,-1,
 414553,-436,54,8180,-17,17,28,9821,-3,3,5168,3,175,-41,4878,0,-1,0,0,-1,400,56.0,6475.0,81.61,81.06,-1,
 414573,-404,60,8154,-17,16,23,9822,0,0,5168,3,182,52,4878,0,-1,0,0,-1,400,56.0,6491.0,81.61,81.17,-1,
 414583,-410,50,8192,-18,12,25,9821,2,0,5168,0,183,58,4878,0,-1,0,0,-1,400,56.0,6508.0,81.61,81.17,-1,
 414593,-434,62,8194,-16,11,28,9822,-2,0,5168,2,185,61,4879,0,-1,0,0,-1,400,56.0,6524.0,81.61,81.28,-1,
 414623,-420,50,8160,-14,18,26,9822,3,2,5160,1,180,51,4878,0,-1,0,0,-1,400,56.0,6540.0,81.61,81.28,-1,
 414643,-406,60,8164,-19,17,25,9821,5,4,5168,0,181,70,4878,0,-1,0,0,-1,400,56.0,6558.0,81.5,81.17,-1,
 414663,-404,48,8186,-16,17,22,9823,8,4,5176,0,182,26,4878,0,-1,0,0,-1,400,56.0,6574.0,81.5,81.17,-1,
 414683,-408,46,8150,-12,20,24,9821,5,-1,5176,3,178,30,4878,0,-1,0,0,-1,400,56.0,6591.0,81.5,81.17,-1,
 414703,-406,62,8170,-17,18,26,9822,5,1,5168,4,179,42,4878,0,-1,0,0,-1,400,56.0,6640.0,81.39,81.17,-1,
 414723,-428,66,8162,-13,15,28,9821,0,-1,5160,0,178,52,4878,0,-1,0,0,-1,400,56.0,6657.0,81.39,81.06,-1,
 414753,-426,42,8158,-9,18,27,9822,2,-1,5168,4,179,52,4878,0,-1,0,0,-1,400,56.0,6673.0,81.39,81.06,-1,
 414773,-430,40,8162,-15,17,29,9822,0,-2,5160,5,179,90,4879,0,-1,0,0,-1,400,56.0,6690.0,81.39,81.06,-1,
 414793,-410,80,8122,-14,16,27,9821,-5,1,5168,6,178,72,4878,0,-1,0,0,-1,400,56.0,6706.0,81.39,81.06,-1,
 414803,-424,34,8166,-23,14,29,9821,-1,-1,5168,7,179,66,4878,0,-1,0,0,-1,400,56.0,6723.0,81.39,81.06,-1,
 414833,-432,68,8168,-16,15,30,9822,5,2,5176,3,181,36,4878,0,-1,0,0,-1,400,56.0,6740.0,81.39,81.06,-1,
 414863,-462,66,8156,-15,17,26,9821,0,1,5184,1,182,66,4879,0,-1,0,0,-1,400,56.0,6773.0,81.39,81.06,-1,
 414873,-414,58,8154,-15,15,27,9821,1,4,5160,0,181,29,4879,0,-1,0,0,-1,400,56.0,6789.0,81.39,81.17,-1,
 414883,-418,32,8146,-15,17,22,9822,7,-1,5176,0,179,1,4878,0,-1,0,0,-1,400,56.0,6806.0,81.39,81.17,-1,
 414893,-402,60,8146,-17,13,26,9823,3,5,5168,2,178,-14,4878,0,-1,0,0,-1,400,56.0,6822.0,81.39,81.17,-1,
 414903,-436,76,8184,-15,12,26,9821,-12,-3,5160,1,175,-12,4878,0,-1,0,0,-1,400,56.0,6839.0,81.39,81.17,-1,
 414933,-450,68,8166,-17,18,26,9821,1,2,5176,3,180,62,4878,0,-1,0,0,-1,400,56.0,6856.0,81.39,81.17,-1,
 414953,-382,68,8162,-17,19,25,9821,-1,-2,5168,6,178,56,4878,0,-1,0,0,-1,400,56.0,6872.0,81.5,81.17,-1,
 414973,-420,84,8174,-16,15,31,9821,0,2,5168,2,182,50,4880,0,-1,0,0,-1,400,56.0,6889.0,81.5,81.17,-1,
 414993,-410,74,8176,-15,14,25,9822,2,2,5168,4,180,49,4878,0,-1,0,0,-1,400,56.0,6905.0,81.5,81.17,-1,
 415003,-442,70,8162,-14,13,24,9822,0,1,5168,0,182,15,4878,0,-1,0,0,-1,400,56.0,6939.0,81.5,81.17,-1,
 415033,-390,66,8162,-12,19,26,9821,3,4,5168,0,178,32,4878,0,-1,0,0,-1,400,56.0,6955.0,81.5,81.17,-1,
 415043,-428,72,8160,-20,15,23,9822,-4,-2,5168,1,179,51,4878,0,-1,0,0,-1,400,56.0,6971.0,81.5,81.17,-1,
 415083,-402,66,8150,-17,12,24,9822,3,-2,5160,1,173,32,4878,0,-1,0,0,-1,400,56.0,6988.0,81.39,81.17,-1,
 415113,-410,68,8184,-17,15,26,9822,1,1,5184,3,186,60,4878,0,-1,0,0,-1,400,56.0,7022.0,81.39,81.17,-1,
 415123,-436,60,8184,-13,16,25,9821,-3,-4,5168,0,189,79,4878,0,-1,0,0,-1,400,56.0,7038.0,81.39,81.17,-1,
 415133,-406,64,8160,-17,18,27,9821,0,-4,5168,2,185,55,4878,0,-1,0,0,-1,400,56.0,7071.0,81.39,81.17,-1,
 415153,-416,44,8160,-17,7,24,9822,6,-3,5160,4,183,49,4878,0,-1,0,0,-1,400,56.0,7087.0,81.39,81.17,-1,
 415183,-416,60,8162,-15,20,25,9821,3,2,5168,3,182,59,4879,0,-1,0,0,-1,400,56.0,7104.0,81.39,81.06,-1,
 415193,-394,60,8162,-14,15,25,9821,0,3,5168,-3,180,55,4878,0,-1,0,0,-1,400,56.0,7121.0,81.39,81.17,-1,
 415203,-414,64,8158,-11,15,26,9822,0,-2,5168,9,176,41,4878,0,-1,0,0,-1,400,56.0,7137.0,81.39,81.17,-1,
 415223,-404,72,8162,-13,15,25,9822,1,1,5168,4,178,39,4878,0,-1,0,0,-1,400,56.0,7154.0,81.28,81.17,-1,
 415253,-410,56,8172,-20,15,31,9822,1,-1,5168,-1,178,34,4879,0,-1,0,0,-1,400,56.0,7170.0,81.28,81.06,-1,
 415273,-446,58,8166,-18,15,31,9822,1,-3,5160,5,180,5,4878,0,-1,0,0,-1,400,56.0,7187.0,81.28,81.17,-1,
 415293,-390,56,8180,-16,17,24,9821,-2,2,5168,3,178,63,4878,0,-1,0,0,-1,400,56.0,7204.0,81.39,81.17,-1,
 415303,-404,64,8170,-16,14,29,9820,-8,1,5168,6,182,58,4879,0,-1,0,0,-1,400,56.0,7220.0,81.28,81.06,-1,
 415323,-420,58,8158,-19,20,29,9822,0,3,5168,2,182,57,4879,0,-1,0,0,-1,400,56.0,7237.0,81.28,81.06,-1,
 415333,-424,38,8156,-15,15,25,9823,0,1,5160,5,181,69,4878,0,-1,0,0,-1,400,56.0,7269.0,81.28,81.06,-1,
 415353,-432,50,8162,-12,14,29,9821,-1,1,5168,4,178,47,4878,0,-1,0,0,-1,400,56.0,7286.0,81.28,81.06,-1,
 415393,-444,48,8186,-14,12,24,9823,4,0,5168,0,179,58,4878,0,-1,0,0,-1,400,56.0,7303.0,81.28,81.06,-1,
 415413,-430,82,8162,-16,16,24,9821,-7,0,5176,0,182,60,4878,0,-1,0,0,-1,400,56.0,7320.0,81.28,81.06,-1,
 415423,-422,64,8170,-16,17,25,9822,7,-2,5168,0,178,41,4878,0,-1,0,0,-1,400,56.0,7336.0,81.28,81.06,-1,
 415453,-410,66,8150,-17,11,29,9821,-1,-3,5168,4,178,44,4878,0,-1,0,0,-1,400,56.0,7369.0,81.28,81.17,-1,
 415473,-420,60,8160,-17,15,25,9821,-3,1,5160,2,182,54,4878,0,-1,0,0,-1,400,56.0,7386.0,81.28,81.06,-1,
 415493,-400,68,8160,-16,15,29,9822,-1,-2,5168,-1,179,55,4878,0,-1,0,0,-1,400,56.0,7403.0,81.28,81.17,-1,
 415503,-406,74,8160,-17,20,24,9821,0,3,5168,2,180,63,4880,0,-1,0,0,-1,400,56.0,7419.0,81.28,81.06,-1,
 415523,-432,78,8184,-17,14,25,9821,-8,2,5168,1,182,43,4879,0,-1,0,0,-1,400,56.0,7435.0,81.28,81.17,-1,
 415543,-422,46,8170,-15,18,25,9822,-1,-1,5168,5,175,1,4878,0,-1,0,0,-1,400,56.0,7452.0,81.28,81.17,-1,
 415553,-398,62,8158,-13,12,27,9821,-5,0,5168,3,175,-12,4879,0,-1,0,0,-1,400,56.0,7468.0,81.28,81.06,-1,
 415563,-438,60,8176,-15,13,27,9821,-5,3,5168,2,173,-15,4878,0,-1,0,0,-1,400,56.0,7468.0,81.28,81.06,-1,
 415573,-418,60,8172,-20,13,25,9821,0,-2,5168,5,170,-7,4879,0,-1,0,0,-1,400,56.0,7486.0,81.28,81.17,-1,
