State time, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z, Encoder angle, Encoder velocity, Encoder acceleration, Motor voltage, Motor current, Battery voltage, Battery current, Ankle angle, Ankle vel, Percent Gait, Heelstrike Armed, Segmentation Trigger, Expected Duration, Current Command, Torque Command, Soft Sensor Time, Hip Soft Sensor, Knee Soft Sensor, MHE Percent Gait, 
 417165,106,-386,-8296,-12,-34,40,328,-2,0,5160,0,182,-64,2935,0,-1,0,0,-1,400,56.0,6872.0,81.06,82.18,-1,
 417185,76,-400,-8302,-16,-43,40,327,-3,-5,5160,-3,181,-65,2934,0,-1,0,0,-1,400,56.0,6889.0,81.06,82.18,-1,
 417195,88,-372,-8308,-16,-41,38,327,-5,1,5160,1,180,-32,2935,0,-1,0,0,-1,400,56.0,6905.0,81.17,82.18,-1,
 417205,70,-374,-8302,-24,-42,35,328,0,-3,5176,-1,179,-5,2934,0,-1,0,0,-1,400,56.0,6905.0,81.17,82.18,-1,
 417225,84,-388,-8290,-15,-39,38,329,1,1,5168,3,179,-34,2935,0,-1,0,0,-1,400,56.0,6921.0,81.17,82.18,-1,
 417235,108,-354,-8304,-18,-41,38,328,4,1,5168,0,178,-20,2933,0,-1,0,0,-1,400,56.0,6939.0,81.06,82.18,-1,
 417245,78,-344,-8326,-14,-39,40,327,-8,6,5160,0,180,-54,2935,0,-1,0,0,-1,400,56.0,6955.0,81.06,82.18,-1,
 417255,104,-384,-8294,-7,-39,40,328,1,0,5168,0,180,-37,2936,0,-1,0,0,-1,400,56.0,6971.0,81.06,82.18,-1,
 417265,74,-372,-8306,-16,-36,43,327,-7,-2,5160,-3,179,-62,2935,0,-1,0,0,-1,400,56.0,7004.0,81.06,82.18,-1,
 417285,116,-384,-8288,-18,-43,44,328,-6,-2,5168,-1,178,-88,2934,0,-1,0,0,-1,400,56.0,7038.0,81.17,82.18,-1,
 417355,72,-402,-8306,-20,-58,41,328,4,0,5168,1,178,-62,2935,0,-1,0,0,-1,400,56.0,7054.0,81.17,82.18,-1,
 417375,80,-384,-8326,-20,-32,40,328,0,2,5168,2,179,-69,2935,0,-1,0,0,-1,400,56.0,7071.0,81.17,82.18,-1,
 417385,94,-390,-8292,-16,-33,40,328,0,6,5168,0,176,-87,2933,0,-1,0,0,-1,400,56.0,7087.0,81.17,82.18,-1,
 417405,90,-372,-8324,-18,-43,41,327,-1,4,5168,2,176,-61,2935,0,-1,0,0,-1,400,56.0,7104.0,81.17,82.18,-1,
 417415,78,-388,-8306,-16,-45,38,328,-1,4,5168,-1,180,-56,2934,0,-1,0,0,-1,400,56.0,7121.0,81.17,82.18,-1,
 417425,74,-380,-8296,-18,-39,39,328,-1,0,5168,-3,180,-49,2935,0,-1,0,0,-1,400,56.0,7137.0,81.06,82.18,-1,
 417435,116,-356,-8288,-19,-37,38,329,0,-2,5160,3,178,-40,2935,0,-1,0,0,-1,400,56.0,7154.0,81.17,82.18,-1,
 417475,74,-396,-8296,-18,-41,41,328,-3,0,5168,-2,185,-52,2935,0,-1,0,0,-1,400,56.0,7170.0,81.06,82.18,-1,
 417505,84,-380,-8292,-18,-38,44,328,2,0,5168,-1,179,-21,2935,0,-1,0,0,-1,400,56.0,7204.0,81.06,82.18,-1,
 417525,80,-354,-8306,-20,-47,43,327,-2,2,5160,2,179,-64,2935,0,-1,0,0,-1,400,56.0,7220.0,81.06,82.18,-1,
 417535,74,-390,-8280,-20,-40,36,327,-4,0,5168,3,176,-54,2936,0,-1,0,0,-1,400,56.0,7237.0,81.06,82.18,-1,
 417545,100,-408,-8302,-13,-37,38,328,3,2,5160,0,175,-75,2934,0,-1,0,0,-1,400,56.0,7269.0,81.06,82.18,-1,
 417565,84,-374,-8306,-15,-39,41,328,-3,-2,5168,-2,180,-57,2935,0,-1,0,0,-1,400,56.0,7286.0,81.06,82.18,-1,
 417605,70,-408,-8316,-20,-35,42,328,0,-2,5168,-1,179,-75,2935,0,-1,0,0,-1,400,56.0,7303.0,81.06,82.18,-1,
 417615,90,-374,-8310,-19,-35,38,328,2,3,5168,0,183,-54,2935,0,-1,0,0,-1,400,56.0,7320.0,81.17,82.18,-1,
 417635,74,-386,-8266,-19,-46,40,328,1,-1,5168,-1,180,-38,2935,0,-1,0,0,-1,400,56.0,7336.0,81.39,82.18,-1,
 417655,78,-368,-8278,-13,-45,45,328,-7,-2,5168,-1,180,-30,2935,0,-1,0,0,-1,400,56.0,7352.0,81.61,82.18,-1,
 417675,68,-378,-8334,-17,-42,41,328,-8,-7,5160,2,182,-15,2935,0,-1,0,0,-1,400,56.0,7369.0,81.73,82.18,-1,
 417685,116,-368,-8306,-14,-41,41,328,0,-1,5168,0,180,-48,2935,0,-1,0,0,-1,400,56.0,7386.0,81.84,82.18,-1,
 417705,82,-376,-8310,-16,-41,38,329,3,7,5168,6,179,-28,2935,0,-1,0,0,-1,400,56.0,7403.0,81.84,82.18,-1,
 417735,80,-346,-8280,-18,-38,41,328,2,-2,5168,0,184,-38,2936,0,-1,0,0,-1,400,56.0,7435.0,81.84,82.18,-1,
 417755,70,-384,-8316,-13,-44,39,329,1,1,5160,-1,185,-56,2935,0,-1,0,0,-1,400,56.0,7452.0,81.84,82.18,-1,
